id,posting_date,account,amount,currency,description,status
ID-0001,2026-05-20,2100-AR,12840.5,USD,open_items seeded 2100-AR close evidence for variance and reconciliation checks.,posted
ID-0002,2026-05-21,3000-Revenue,6400.75,USD,open_items seeded 3000-Revenue close evidence for variance and reconciliation checks.,pending
ID-0003,2026-05-22,4000-Expense,-9200,USD,open_items seeded 4000-Expense close evidence for variance and reconciliation checks.,posted
ID-0004,2026-05-23,5000-COGS,-45100.25,USD,open_items seeded 5000-COGS close evidence for variance and reconciliation checks.,posted
ID-0005,2026-05-24,1000-Cash,780.5,USD,open_items seeded 1000-Cash close evidence for variance and reconciliation checks.,posted
ID-0006,2026-05-25,2000-AP,-33000,USD,open_items seeded 2000-AP close evidence for variance and reconciliation checks.,reversed
ID-0007,2020-07-28,3000-Revenue,-4823.23,EUR,Tabula unus bis allatus.,posted
ID-0008,2023-11-08,3000-Revenue,4669.74,USD,Paens derideo votum approbo sub culpo.,posted
ID-0009,2024-04-21,4000-Expense,49125.6,USD,Surculus nesciunt certus.,posted
ID-0010,2020-07-06,5000-COGS,-30813.27,USD,Conspergo aegrus earum aegre.,pending
ID-0011,2021-05-27,3000-Revenue,38007.91,EUR,Communis concedo sortitus vulgus somniculosus labore sustineo.,posted
ID-0012,2020-05-11,3000-Revenue,45762.53,USD,Averto facilis alo defaeco temperantia conqueror sono theatrum.,pending
ID-0013,2021-05-29,2100-AR,-34758.4,GBP,Harum turbo eligendi qui alii temeritas antiquus trepide tero sui.,posted
ID-0014,2021-10-26,2000-AP,-13986.36,USD,Iste cohaero crux dedecor pauci ducimus verto derideo vulgivagus ullus.,posted
ID-0015,2025-08-01,1000-Cash,31744.97,EUR,Ustilo timidus texo cogo aggero culpa atavus sub coniuratio voluptates.,posted
ID-0016,2024-12-07,1000-Cash,36201.45,GBP,Pecto teneo ater desolo cubitum arca.,posted
ID-0017,2020-05-29,1000-Cash,-36483.37,GBP,Vociferor damnatio color dicta decerno amiculum saepe.,posted
ID-0018,2023-09-20,3000-Revenue,-34797.52,USD,Degero adsum vulgus adsuesco sub vorago capitulus aranea animus.,posted
ID-0019,2020-08-09,4000-Expense,-43770.82,EUR,Torrens possimus cohaero quia et cursim aperte valde defaeco autem.,posted
ID-0020,2022-06-26,4000-Expense,23361.44,GBP,Cupressus denique accusantium.,posted
ID-0021,2024-07-24,1000-Cash,3531.01,USD,Caput voluptates thesis.,reversed
ID-0022,2022-12-05,1000-Cash,4795.95,EUR,Alter depopulo architecto communis tabula demonstro coruscus crur degenero.,posted
ID-0023,2025-05-09,5000-COGS,28690.34,USD,Debitis caterva turba adficio venia deinde repellendus soluta.,pending
ID-0024,2023-10-27,3000-Revenue,-43334.8,EUR,Tabula doloremque sponte adhuc.,posted
