id,posting_date,account,amount,currency,description,status
ID-0001,2026-05-20,2000-AP,-12840.5,USD,subledger_balances seeded 2000-AP close evidence for variance and reconciliation checks.,posted
ID-0002,2026-05-21,2100-AR,6400.75,USD,subledger_balances seeded 2100-AR close evidence for variance and reconciliation checks.,pending
ID-0003,2026-05-22,3000-Revenue,9200,USD,subledger_balances seeded 3000-Revenue close evidence for variance and reconciliation checks.,posted
ID-0004,2026-05-23,4000-Expense,-45100.25,USD,subledger_balances seeded 4000-Expense close evidence for variance and reconciliation checks.,posted
ID-0005,2026-05-24,5000-COGS,-780.5,USD,subledger_balances seeded 5000-COGS close evidence for variance and reconciliation checks.,posted
ID-0006,2026-05-25,1000-Cash,33000,USD,subledger_balances seeded 1000-Cash close evidence for variance and reconciliation checks.,reversed
ID-0007,2024-12-18,4000-Expense,21432.67,EUR,Suasoria suspendo universe certus timor autus conitor condico volutabrum umerus.,posted
ID-0008,2024-05-12,3000-Revenue,44709.07,EUR,Ascisco terror tabernus credo acies tumultus.,posted
ID-0009,2024-03-22,5000-COGS,-6233.87,USD,Totidem in volaticus admoneo despecto supellex unus attero.,pending
ID-0010,2023-04-26,2100-AR,-36828.5,GBP,Collum clam ut speculum.,posted
ID-0011,2021-07-03,3000-Revenue,7174.6,GBP,Abundans sperno admoneo inflammatio civis cohibeo conservo quas concido synagoga.,posted
ID-0012,2020-05-29,4000-Expense,-21424.17,EUR,Concedo adstringo corrumpo vinco sapiente speciosus ratione avarus.,posted
ID-0013,2024-07-04,1000-Cash,-22214.72,USD,Vomer aegre earum attero voluntarius amplitudo.,posted
ID-0014,2024-06-05,4000-Expense,-7727.14,EUR,Celo basium denuncio censura civis solum.,reversed
ID-0015,2023-08-16,1000-Cash,-42441.64,GBP,Aliqua patruus quia socius ceno.,posted
ID-0016,2025-10-16,2000-AP,17602.63,GBP,Coma cerno patrocinor usitas vindico amiculum arma.,pending
ID-0017,2024-06-02,5000-COGS,-29736.74,EUR,Sponte cumque accendo nostrum casus defaeco vita cubitum.,pending
ID-0018,2021-02-17,4000-Expense,47700.7,USD,Damno aliquam tamisium.,pending
ID-0019,2022-08-09,2000-AP,-6559.67,GBP,Odit placeat reprehenderit.,posted
ID-0020,2024-04-14,1000-Cash,-30072.97,GBP,Abutor carpo bestia cerno carmen advenio degenero tabella.,posted
ID-0021,2024-01-14,1000-Cash,45149.08,GBP,Trans vicissitudo illum averto provident talus taceo eligendi aegrotatio.,posted
ID-0022,2025-07-11,3000-Revenue,3833.19,USD,Vehemens sophismata tersus defetiscor quod.,posted
ID-0023,2024-03-26,2100-AR,-5745.45,EUR,Adversus tredecim clarus decor acer coerceo desolo adstringo deprecator vestigium.,posted
ID-0024,2024-08-02,2100-AR,15517.37,USD,Arto aeneus audax sonitus.,pending
ID-0025,2024-11-19,4000-Expense,-38956.82,USD,Carus dolorum facilis consuasor considero.,pending
ID-0026,2024-09-26,2000-AP,41378.85,GBP,Conspergo dicta vilis utor ambulo.,posted
ID-0027,2023-04-27,3000-Revenue,-30613.7,GBP,Tum una tamisium decens pel arto speculum attero.,posted
ID-0028,2021-05-18,1000-Cash,-33471.55,USD,Synagoga dolorum arx agnosco accusantium asperiores validus carbo.,posted
ID-0029,2020-08-18,2000-AP,1922.46,EUR,Adsuesco crinis canis bonus.,reversed
ID-0030,2023-09-12,3000-Revenue,-8422.49,EUR,Subito subvenio astrum desidero cupiditas usus quos.,posted
ID-0031,2020-09-09,3000-Revenue,-38279.61,EUR,Stultus beatae cruciamentum vehemens.,posted
ID-0032,2023-01-18,2100-AR,-48187.6,GBP,Demitto laudantium quisquam.,posted
ID-0033,2021-07-09,1000-Cash,22344.37,EUR,Trado turpis deorsum concido textilis defendo auctus umbra vaco.,posted
ID-0034,2020-06-14,2100-AR,30353.77,GBP,Aeger utpote cribro id.,reversed
ID-0035,2020-05-25,3000-Revenue,-42589.46,EUR,Damno vulpes laboriosam commemoro bonus consequatur corroboro aegrotatio corpus.,posted
ID-0036,2024-05-03,3000-Revenue,20876.57,USD,Somniculosus denuo abscido thymum.,posted
ID-0037,2023-04-17,1000-Cash,26651.51,EUR,Tantillus thymbra eaque aqua speciosus quam talis assentator autem.,pending
