id,posting_date,account,amount,currency,description,status
ID-0001,2026-05-20,1000-Cash,12840.5,USD,gl_entries seeded 1000-Cash close evidence for variance and reconciliation checks.,posted
ID-0002,2026-05-21,2000-AP,-6400.75,USD,gl_entries seeded 2000-AP close evidence for variance and reconciliation checks.,pending
ID-0003,2026-05-22,2100-AR,9200,USD,gl_entries seeded 2100-AR close evidence for variance and reconciliation checks.,posted
ID-0004,2026-05-23,3000-Revenue,45100.25,USD,gl_entries seeded 3000-Revenue close evidence for variance and reconciliation checks.,posted
ID-0005,2026-05-24,4000-Expense,-780.5,USD,gl_entries seeded 4000-Expense close evidence for variance and reconciliation checks.,posted
ID-0006,2026-05-25,5000-COGS,-33000,USD,gl_entries seeded 5000-COGS close evidence for variance and reconciliation checks.,reversed
ID-0007,2025-02-24,2000-AP,41077.02,GBP,Accommodo vivo sursum cogo tricesimus cilicium uter amplexus succedo.,posted
ID-0008,2020-07-30,2000-AP,-48759.6,EUR,Patrocinor clibanus coepi talus administratio.,pending
ID-0009,2025-02-11,4000-Expense,9322.16,GBP,Aeternus capto thalassinus adeo.,posted
ID-0010,2025-12-21,5000-COGS,2144.57,USD,Patruus amplus aliquid verbera sortitus tricesimus utroque mollitia ea.,posted
ID-0011,2021-11-25,2100-AR,27387.97,EUR,Decipio pectus quos omnis subvenio capio doloremque amicitia creo depopulo.,posted
ID-0012,2025-09-14,3000-Revenue,24359.39,EUR,Aeneus caterva conturbo demergo adipisci apud charisma volup.,posted
ID-0013,2022-11-22,2000-AP,11078.01,USD,Ea abscido absens blanditiis.,posted
ID-0014,2020-08-24,2100-AR,30258.57,EUR,Claudeo vicinus crux alias provident amplitudo conitor.,posted
ID-0015,2025-03-31,2100-AR,20225.88,GBP,Cervus crur curis cunctatio.,pending
ID-0016,2024-04-14,3000-Revenue,-19062.73,GBP,Trado ab repellat admoneo causa adulatio peccatus stipes amplus credo.,posted
ID-0017,2022-03-19,1000-Cash,-8105.22,GBP,Aggero conspergo vilis.,posted
ID-0018,2024-01-27,2100-AR,9366.08,USD,Vereor perspiciatis uterque surculus animi veniam aeger explicabo.,posted
ID-0019,2020-01-26,2100-AR,-20495.93,EUR,Adimpleo annus laboriosam conicio suspendo solio tutis.,posted
ID-0020,2022-07-31,4000-Expense,-22461.88,USD,Decumbo theologus traho umquam veritatis curvo comis non correptius.,posted
ID-0021,2024-03-26,4000-Expense,-12544.71,USD,Aranea validus coniuratio arma acies sint.,posted
ID-0022,2022-01-16,1000-Cash,-9037.11,USD,Pecto copia blandior voveo defetiscor sto aqua depereo.,posted
ID-0023,2023-01-12,5000-COGS,-11579.33,USD,Cresco artificiose acervus.,posted
