id,posting_date,account,amount,currency,description,status
ID-0001,2026-05-20,1000-Cash,12840.5,USD,gl_entries seeded 1000-Cash close evidence for variance and reconciliation checks.,posted
ID-0002,2026-05-21,2000-AP,-6400.75,USD,gl_entries seeded 2000-AP close evidence for variance and reconciliation checks.,pending
ID-0003,2026-05-22,2100-AR,9200,USD,gl_entries seeded 2100-AR close evidence for variance and reconciliation checks.,posted
ID-0004,2026-05-23,3000-Revenue,45100.25,USD,gl_entries seeded 3000-Revenue close evidence for variance and reconciliation checks.,posted
ID-0005,2026-05-24,4000-Expense,-780.5,USD,gl_entries seeded 4000-Expense close evidence for variance and reconciliation checks.,posted
ID-0006,2026-05-25,5000-COGS,-33000,USD,gl_entries seeded 5000-COGS close evidence for variance and reconciliation checks.,reversed
ID-0007,2020-06-12,5000-COGS,27224.48,USD,Tot suffragium suspendo.,posted
ID-0008,2020-06-11,2100-AR,-38413.1,GBP,Comptus adversus colo communis suspendo repellendus valens.,posted
ID-0009,2020-09-19,4000-Expense,26078.51,EUR,Depulso eos cursus acies amita addo repellat comburo dolor.,pending
ID-0010,2021-06-30,2100-AR,25555.12,USD,Clam arx vetus.,pending
ID-0011,2023-10-20,5000-COGS,30367.21,USD,Fugit timor vel cometes amo calcar curso toties undique absconditus.,posted
ID-0012,2022-07-03,2000-AP,-38013.47,EUR,Commodi earum succedo convoco volup vivo caste derideo coerceo cinis.,posted
ID-0013,2023-08-29,3000-Revenue,-44852.13,USD,Capto arbor deporto voro carbo spectaculum temptatio capio suscipit corona.,posted
ID-0014,2023-10-20,3000-Revenue,-40971.03,GBP,Audentia adhaero officiis spiculum acceptus.,posted
ID-0015,2021-05-11,3000-Revenue,-32563.36,GBP,Video apto confugo amplitudo vesper utpote.,posted
ID-0016,2023-12-17,4000-Expense,5520.08,EUR,Aliquid velit velut recusandae.,posted
ID-0017,2022-02-04,4000-Expense,39711.03,GBP,Sapiente ago arx velociter pecto absque ambitus somnus abscido.,posted
ID-0018,2023-04-17,4000-Expense,15196.13,USD,Capio comparo tamen sodalitas ulciscor solum minus aliquid.,posted
ID-0019,2021-08-04,2000-AP,47301.06,EUR,Quos theatrum desolo neque depromo autus suppono cicuta acidus similique.,posted
ID-0020,2025-08-23,5000-COGS,41486.44,EUR,Vestrum cursus voco.,reversed
ID-0021,2025-02-12,2000-AP,-11490.23,GBP,Assentator iusto video subito molestiae.,posted
ID-0022,2023-09-10,5000-COGS,-35991.6,EUR,Talio subiungo subvenio contigo claudeo tolero tollo usque vereor dolorem.,posted
ID-0023,2024-10-15,3000-Revenue,20196.69,GBP,Confero coruscus aliquid nesciunt adeptio deleniti illo cito officiis adaugeo.,posted
