id,source_record_id,vendor,amount,currency,status,created_at,due_date
ID-0001,SOU-0001,"Champlin-Braun, Goodwin and Trantow",19267.54,USD,pending,2022-02-17,2020-06-01
ID-0002,SOU-0002,Feest LLC,88019.9,USD,approved,2021-12-11,2021-12-30
ID-0003,SOU-0003,"Lynch, Beier and Daniel-Pollich",20173.27,USD,draft,2022-09-14,2024-07-15
ID-0004,SOU-0004,Walter Group,39991.66,USD,rejected,2025-07-24,2023-03-29
ID-0005,SOU-0005,"Borer, Shanahan and Bashirian",30382.52,USD,pending,2020-07-11,2025-08-15
ID-0006,SOU-0006,King LLC,51616.37,GBP,approved,2025-12-14,2025-02-09
ID-0007,SOU-0007,Schumm - Stroman,80611.95,EUR,pending,2020-06-26,2022-06-02
ID-0008,SOU-0008,Wolf - Cole,86215.25,GBP,approved,2023-08-21,2024-08-03
ID-0009,SOU-0009,Corkery - Balistreri,13603.11,JPY,approved,2025-10-18,2022-08-06
ID-0010,SOU-0010,Braun - Mraz,65055.09,USD,draft,2024-09-07,2022-10-04
ID-0011,SOU-0011,Powlowski - Conroy,12226.35,USD,pending,2024-02-26,2020-05-16
ID-0012,SOU-0012,Morar Inc,62427.2,USD,approved,2020-10-13,2025-04-27
ID-0013,SOU-0013,Jerde and Sons,73388.08,EUR,draft,2022-07-01,2022-11-21
ID-0014,SOU-0014,Collins - Anderson,24196.02,JPY,paid,2025-10-04,2022-12-05
ID-0015,SOU-0015,Sporer - Cormier,32535.12,EUR,approved,2022-04-03,2022-05-14
ID-0016,SOU-0016,Wilkinson and Sons,31609.15,USD,approved,2021-07-12,2025-01-17
ID-0017,SOU-0017,Nienow - Nienow,61431.97,USD,approved,2020-11-25,2024-06-04
ID-0018,SOU-0018,Bogan LLC,7301.22,USD,draft,2025-09-27,2024-06-04
ID-0019,SOU-0019,Ryan LLC,18601.03,USD,draft,2023-12-18,2024-08-02
ID-0020,SOU-0020,Wisoky - Muller,38255.77,USD,pending,2023-09-10,2024-08-24
ID-0021,SOU-0021,Wisozk and Sons,29352.92,JPY,approved,2023-06-30,2024-06-27
ID-0022,SOU-0022,"Hayes, Hintz and Moore",94313.28,USD,pending,2021-03-08,2025-04-28
ID-0023,SOU-0023,Stoltenberg and Sons,91900.76,USD,paid,2022-10-06,2025-01-19
ID-0024,SOU-0024,"Dare, Wehner-Baumbach and Reinger",81796.76,USD,approved,2025-01-16,2024-05-25
ID-0025,SOU-0025,Gulgowski LLC,68919.64,GBP,approved,2024-07-26,2020-12-16
ID-0026,SOU-0026,Reinger and Sons,10007.89,USD,paid,2021-03-23,2023-05-01
ID-0027,SOU-0027,"Hermiston, Abshire and Rodriguez",20327.8,JPY,pending,2021-12-17,2020-11-22
ID-0028,SOU-0028,Hills-Kirlin - Medhurst,39213.42,USD,approved,2020-01-08,2023-09-20
ID-0029,SOU-0029,McKenzie Inc,64268.32,USD,approved,2023-05-15,2023-05-13
ID-0030,SOU-0030,Glover and Sons,49875.74,USD,draft,2022-01-02,2024-09-16
ID-0031,SOU-0031,"Kiehn, Kerluke and Metz",73592.75,JPY,rejected,2023-11-09,2022-07-12
ID-0032,SOU-0032,Jast and Sons,38444.91,USD,approved,2021-02-08,2022-03-05
ID-0033,SOU-0033,Sipes Inc,51856.07,USD,rejected,2021-07-22,2022-07-30
