id,posting_date,account,amount,currency,description,status
ID-0001,2026-05-20,2100-AR,12840.5,USD,open_items seeded 2100-AR close evidence for variance and reconciliation checks.,posted
ID-0002,2026-05-21,3000-Revenue,6400.75,USD,open_items seeded 3000-Revenue close evidence for variance and reconciliation checks.,pending
ID-0003,2026-05-22,4000-Expense,-9200,USD,open_items seeded 4000-Expense close evidence for variance and reconciliation checks.,posted
ID-0004,2026-05-23,5000-COGS,-45100.25,USD,open_items seeded 5000-COGS close evidence for variance and reconciliation checks.,posted
ID-0005,2026-05-24,1000-Cash,780.5,USD,open_items seeded 1000-Cash close evidence for variance and reconciliation checks.,posted
ID-0006,2026-05-25,2000-AP,-33000,USD,open_items seeded 2000-AP close evidence for variance and reconciliation checks.,reversed
ID-0007,2023-02-24,4000-Expense,-26557.44,EUR,Vito sordeo victoria.,posted
ID-0008,2023-09-02,4000-Expense,-18245.03,GBP,Vado tactus chirographum cilicium vix abstergo sumptus suffoco qui vulariter.,posted
ID-0009,2022-01-15,1000-Cash,-5720.19,USD,Trucido videlicet audax corroboro vestrum.,posted
ID-0010,2020-07-21,1000-Cash,9521.28,USD,Dedecor desipio caritas deludo somniculosus tantillus tego nesciunt ventito totidem.,posted
ID-0011,2020-05-01,1000-Cash,-28755.28,EUR,Culpa vado vehemens verbera combibo studio.,posted
ID-0012,2021-02-21,2000-AP,-15789.24,EUR,Animadverto tabesco excepturi civis depromo coepi patior damno asper.,posted
ID-0013,2023-04-13,5000-COGS,-15604.23,GBP,Vicinus trado minima solum velociter cubo compello abstergo.,pending
ID-0014,2024-10-21,1000-Cash,7685.74,EUR,Vomer bestia aegre.,posted
ID-0015,2024-06-07,1000-Cash,15871.77,EUR,At minus clibanus.,pending
ID-0016,2024-11-29,5000-COGS,-24032.92,GBP,Conqueror admitto admoveo stultus defungo calamitas.,posted
ID-0017,2021-07-08,3000-Revenue,-14079.13,GBP,Demoror consequatur conventus tibi complectus bellicus ago deleo dens.,pending
ID-0018,2021-04-29,2100-AR,30840.58,GBP,Degenero cognatus vicissitudo angustus victoria stella.,posted
ID-0019,2020-03-12,2100-AR,-9225.19,USD,Volup libero sumo aegrotatio cura angelus placeat vigilo.,posted
ID-0020,2020-06-17,2100-AR,5066.34,EUR,Torrens perspiciatis corrumpo cattus amiculum conspergo cupiditate spes solus.,posted
ID-0021,2022-05-16,2000-AP,-34318.73,GBP,Curatio asporto utroque.,posted
ID-0022,2021-05-22,3000-Revenue,23148.64,GBP,Valde victus veritatis rem.,posted
ID-0023,2022-06-02,4000-Expense,3129.4,GBP,Suus tredecim arca triumphus harum tutamen.,posted
ID-0024,2022-04-10,5000-COGS,-24883.08,GBP,Doloribus colligo nam communis adflicto cernuus.,posted
ID-0025,2025-11-14,5000-COGS,-10484.47,GBP,Speciosus tibi vindico cubo terra.,posted
