id,source_record_id,vendor,amount,currency,status,created_at,due_date
ID-0001,SOU-0001,Apex Facilities,18500.25,USD,pending,2026-05-06,2026-06-06
ID-0002,SOU-0002,Northstar Logistics,74200.9,USD,approved,2026-05-07,2026-06-10
ID-0003,SOU-0003,Summit Software,126000,USD,approved,2026-05-08,2026-06-14
ID-0004,SOU-0004,Vertex Components,9800.5,USD,rejected,2026-05-09,2026-06-18
ID-0005,SOU-0005,Tillman - Prohaska,68043.18,USD,draft,2023-07-01,2021-07-08
ID-0006,SOU-0006,Spencer Group,67278.81,JPY,pending,2020-01-19,2022-08-08
ID-0007,SOU-0007,Kerluke - Reilly,1004.51,USD,approved,2023-10-29,2021-06-14
ID-0008,SOU-0008,"Thiel, Franey and Franey",6346.37,USD,paid,2023-08-22,2024-01-14
ID-0009,SOU-0009,Schneider - Little,20108.17,USD,paid,2024-06-05,2023-02-17
ID-0010,SOU-0010,McDermott - Hills,89545.08,USD,paid,2022-09-22,2023-10-13
ID-0011,SOU-0011,Kihn - Bergnaum,82491.85,USD,approved,2020-02-18,2021-10-21
ID-0012,SOU-0012,Walter Group,76467.63,USD,approved,2021-07-24,2020-12-15
ID-0013,SOU-0013,Ondricka - Pfannerstill,11132.14,USD,pending,2021-07-01,2023-02-02
ID-0014,SOU-0014,Shields and Sons,30848.8,GBP,rejected,2021-12-17,2022-02-15
ID-0015,SOU-0015,Brakus Inc,55381.78,USD,pending,2025-02-25,2024-01-23
ID-0016,SOU-0016,"Kessler, Pacocha and Fay",11843.37,USD,draft,2024-04-24,2024-05-24
ID-0017,SOU-0017,Aufderhar Group,89096.47,USD,pending,2020-08-18,2021-05-02
ID-0018,SOU-0018,Beer Inc,23496.91,USD,rejected,2023-09-12,2023-05-05
ID-0019,SOU-0019,Predovic LLC,17252.22,USD,approved,2025-03-23,2023-10-16
ID-0020,SOU-0020,Carroll Inc,14369.91,USD,pending,2022-05-08,2025-05-17
ID-0021,SOU-0021,Auer - Krajcik,56111.76,USD,approved,2021-07-09,2020-01-22
ID-0022,SOU-0022,"Schuster, Hartmann and Deckow",85511.91,GBP,approved,2020-06-14,2022-04-30
ID-0023,SOU-0023,"Bergstrom, Littel and O'Conner",7503.13,USD,paid,2022-08-08,2025-12-25
ID-0024,SOU-0024,Heller Inc,6964.49,USD,approved,2024-05-03,2023-12-10
ID-0025,SOU-0025,"Okuneva, Schneider and Bergstrom",76674.86,USD,paid,2024-07-05,2024-10-26
ID-0026,SOU-0026,Mraz LLC,17071.11,USD,paid,2024-07-01,2025-06-13
ID-0027,SOU-0027,"Towne, Crona and Goldner",20305.19,USD,pending,2021-04-16,2022-07-20
ID-0028,SOU-0028,"Blick, Schuster and Goldner",69266.66,USD,rejected,2023-10-26,2021-12-12
ID-0029,SOU-0029,Erdman - Olson,81512.48,EUR,paid,2021-02-15,2020-07-12
ID-0030,SOU-0030,"Bartell, Thiel and Batz",66718.06,USD,paid,2025-04-30,2021-12-14
ID-0031,SOU-0031,"Sporer, Bergstrom and Hansen-Rogahn",80685.84,GBP,rejected,2021-06-13,2020-03-29
ID-0032,SOU-0032,Hessel and Sons,56661.45,USD,approved,2021-05-23,2020-02-01
ID-0033,SOU-0033,"Batz, Maggio and McGlynn",58136.94,JPY,paid,2022-08-27,2024-03-30
ID-0034,SOU-0034,Ward and Sons,34256.34,USD,pending,2025-12-22,2025-11-20
ID-0035,SOU-0035,Medhurst Group,45530.96,USD,approved,2022-03-28,2025-08-26
ID-0036,SOU-0036,Predovic - Crist,63630.44,USD,pending,2024-03-25,2022-09-24
ID-0037,SOU-0037,"Aufderhar, Price and Willms",53639.91,USD,approved,2020-12-02,2023-06-09
ID-0038,SOU-0038,Medhurst - Bartoletti,42391.18,USD,approved,2025-04-15,2025-04-19
ID-0039,SOU-0039,Torphy Group,73768.87,USD,paid,2025-12-25,2020-03-06
ID-0040,SOU-0040,"Kohler-Stamm, Bergstrom and Stehr",93802.73,USD,pending,2020-06-04,2021-04-07
ID-0041,SOU-0041,Bradtke - Wiza,75953.32,JPY,approved,2021-09-02,2024-10-15
ID-0042,SOU-0042,Christiansen - Pacocha,6350.22,USD,paid,2020-11-18,2022-01-21
ID-0043,SOU-0043,"Kuhic, Schneider and Lakin",14493.47,USD,pending,2022-12-05,2020-06-29
ID-0044,SOU-0044,Bednar Inc,45897.3,EUR,approved,2024-01-02,2024-08-30
ID-0045,SOU-0045,"Spencer, Hilpert and Robel",49307.65,USD,paid,2022-03-03,2025-02-27
ID-0046,SOU-0046,Ruecker Group,19722.28,JPY,pending,2023-05-29,2023-06-23
ID-0047,SOU-0047,Lueilwitz Inc,66200.56,USD,approved,2021-02-10,2021-09-02
ID-0048,SOU-0048,Grant - Marquardt-Conroy,37517.37,EUR,pending,2020-07-09,2023-05-05
ID-0049,SOU-0049,"Pacocha, Swift and Abbott",87079.84,EUR,approved,2024-07-02,2020-11-29
ID-0050,SOU-0050,Kuhic and Sons,4101.9,USD,pending,2021-06-06,2025-06-14
ID-0051,SOU-0051,Crist Inc,43055.52,USD,rejected,2024-08-13,2022-05-22
ID-0052,SOU-0052,"Doyle, Morar and Kuvalis",5119.27,USD,approved,2022-08-18,2025-01-13
ID-0053,SOU-0053,Ferry - Brown,60871.12,USD,pending,2022-04-12,2024-10-22
ID-0054,SOU-0054,Rutherford Group,67771.58,USD,rejected,2022-04-29,2020-05-25
ID-0055,SOU-0055,Ryan - Bartell,96153.09,USD,rejected,2021-08-04,2023-09-02
ID-0056,SOU-0056,"White, Gottlieb and Altenwerth-Rau",70653.99,USD,rejected,2021-11-14,2022-01-15
ID-0057,SOU-0057,Heathcote - Denesik,37313.64,GBP,draft,2020-07-21,2020-12-22
ID-0058,SOU-0058,King-Kuvalis Group,47148.93,USD,paid,2024-07-10,2023-06-20
ID-0059,SOU-0059,"Bednar, Olson and Torp",89566.73,GBP,pending,2024-02-23,2021-08-18
ID-0060,SOU-0060,Keeling - Rice,53192.35,USD,approved,2021-10-19,2023-07-30
